,latitude,longitude,surface,azim,kWp,tilt
653,,,23,-30.0,2.88,20.0
654,,,8,0.0,1.122,20.0
655,,,24,20.0,2.4,20.0
656,,,19,-45.0,2.4,15.0
657,,,18,0.0,2.99,20.0
658,,,10,0.0,1.8,15.0
659,,,23,-80.0,2.8,5.0
660,,,22,30.0,3.0,20.0
661,,,20,45.0,2.96,15.0
662,,,21,15.0,2.8,20.0
663,,,21,65.0,2.96,45.0
664,,,19,40.0,2.996,45.0
665,,,22,-15.0,2.94,20.0
666,,,13,20.0,1.92,45.0
667,,,20,-90.0,3.0,15.0
668,,,21,-5.0,2.94,35.0
669,,,25,-120.0,2.4,30.0
670,,,21,0.0,2.88,35.0
671,,,24,-15.0,2.97,45.0
672,,,20,90.0,2.96,20.0
673,,,23,0.0,3.0,15.0
674,,,24,-20.0,2.94,30.0
675,,,26,0.0,2.94,20.0
676,,,20,0.0,2.0,45.0
677,,,23,-45.0,2.96,35.0
678,,,20,0.0,2.88,30.0
679,,,24,25.0,2.88,15.0
680,,,20,20.0,2.8,20.0
681,,,13,-45.0,1.85,45.0
682,,,65,45.0,9.0,45.0
683,,,7,0.0,1.0,30.0
684,,,25,0.0,3.0,15.0
685,,,39,0.0,4.29,35.0
686,,,21,50.0,2.88,30.0
687,,,136,0.0,15.84,35.0
688,,,22,0.0,2.96,25.0
689,,,22,0.0,3.0,35.0
690,,,18,0.0,2.996,35.0
691,,,33,0.0,4.6,30.0
692,,,22,-15.0,2.94,25.0
693,,,23,0.0,2.97,20.0
694,,,18,-10.0,3.0,15.0
695,,,23,-10.0,2.96,40.0
696,,,23,-45.0,2.96,15.0
697,,,19,35.0,2.99,35.0
698,,,61,-20.0,8.75,35.0
699,,,16,25.0,2.205,45.0
700,,,32,0.0,2.96,40.0
701,,,20,-45.0,2.16,40.0
702,,,24,30.0,3.0,30.0
703,,,20,10.0,2.625,40.0
704,,,15,45.0,1.68,30.0
705,,,16,0.0,3.0,20.0
706,,,24,0.0,2.94,45.0
707,,,23,-40.0,2.94,45.0
708,,,25,45.0,2.85,20.0
709,,,22,35.0,2.992,35.0
710,,,21,0.0,2.72,30.0
711,,,40,40.0,5.655,35.0
712,,,24,45.0,3.0,20.0
713,,,21,-45.0,2.96,20.0
714,,,23,-45.0,2.94,25.0
715,,,23,0.0,4.2,15.0
716,,,21,-20.0,2.85,20.0
717,,,23,45.0,2.4,45.0
718,,,23,30.0,2.94,20.0
719,,,18,15.0,2.996,25.0
720,,,70,15.0,9.5,20.0
721,,,16,-70.0,2.5,15.0
722,,,95,0.0,14.5,35.0
723,,,18,30.0,2.94,25.0
724,,,13,-45.0,1.8,35.0
725,,,16,0.0,2.1,25.0
726,,,24,-20.0,2.97,15.0
727,,,20,-50.0,2.94,20.0
728,,,16,-45.0,2.88,30.0
729,,,25,60.0,3.0,30.0
730,,,21,0.0,2.52,20.0
731,,,19,0.0,2.94,45.0
732,,,20,0.0,2.996,30.0
733,,,24,-40.0,2.94,20.0
734,,,29,20.0,5.4,20.0
735,,,18,-40.0,2.94,45.0
736,,,22,45.0,3.0,25.0
737,,,21,20.0,2.88,15.0
738,,,23,10.0,2.996,35.0
739,,,22,0.0,3.0,25.0
740,,,16,80.0,2.1,30.0
741,,,25,0.0,2.97,40.0
742,,,23,-40.0,2.94,45.0
743,,,20,-45.0,3.0,45.0
744,,,20,-20.0,3.06,35.0
745,,,21,-20.0,2.94,30.0
746,,,24,60.0,2.94,45.0
747,,,18,0.0,2.996,10.0
748,,,15,-45.0,1.98,45.0
749,,,23,30.0,3.01,20.0
750,,,21,95.0,2.88,20.0
751,,,28,45.0,3.1,15.0
752,,,22,0.0,2.96,45.0
753,,,18,20.0,2.5,15.0
